;Object Container Streaming: Server Side Streaming Manager;02.05.2017;;12.07.2017;;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;12.07.2017;0;0
;Entity Owner Manager;06.04.2017;;29.05.2017;;29.05.2017;0;29.05.2017;0;29.05.2017;0;12.06.2017;+14;12.06.2017;0;12.06.2017;0;12.06.2017;0;12.06.2017;0;28.06.2017;+16;07.07.2017;+9;14.07.2017;+7;20.07.2017;+6;28.07.2017;+8;11.08.2017;+14;11.08.2017;0;11.08.2017;0;11.08.2017;0;+74
;Atmospheric Entry Gamecode;07.04.2017;;05.05.2017;;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;0
;Atmospheric Entry Graphics;07.04.2017;;05.05.2017;;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;05.05.2017;0;0
;Kiosk UI;03.04.2017;;04.05.2017;;10.05.2017;+6;10.05.2017;0;10.05.2017;0;25.05.2017;+15;25.05.2017;0;07.06.2017;+13;07.06.2017;0;23.06.2017;+16;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;23.06.2017;0;+50
"FPS
(12 DONE / 6 TODO)";Repair & Restock System;07.06.2017;;04.07.2017;;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;04.07.2017;0;0
;Take Down (Front, Sides, Rear);10.07.2017;;07.08.2017;;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;07.08.2017;0;0
;Item Inspection;19.09.2017;;17.10.2017;;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;17.10.2017;0;0
;Planetary FPS Ambush;07.06.2017;;20.06.2017;;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;20.06.2017;0;0
;Shouldered Weapons;13.03.2017;;14.04.2017;;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;14.04.2017;0;0
;Bumps;10.08.2017;;07.09.2017;;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;07.09.2017;0;0
;Gadgets (Drones / Shields);03.10.2017;;28.11.2017;;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;28.11.2017;0;0
;Throwable Weapons;15.05.2017;;03.07.2017;;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;0
;Looting Permissions / IK;17.10.2017;;14.11.2017;;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;14.11.2017;0;0
;Knife Melee;12.06.2017;;10.07.2017;;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;10.07.2017;0;0
;Drowning;12.12.2017;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;2018+;;
;Female Player Locomotion;08.05.2017;;03.07.2017;;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;03.07.2017;0;0
;Knockdown and Knokbacks;15.06.2017;;10.08.2017;;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;10.08.2017;0;0
;Downed State;07.09.2017;;05.10.2017;;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;05.10.2017;0;0
;Pick Up & Carry;03.04.2017;;24.05.2017;;24.05.2017;0;24.05.2017;0;24.05.2017;0;24.05.2017;0;24.05.2017;0;12.06.2017;+19;12.06.2017;0;26.06.2017;+14;26.06.2017;0;26.06.2017;0;26.06.2017;0;26.06.2017;0;26.06.2017;0;26.06.2017;0;26.06.2017;0;26.06.2017;0;26.06.2017;0;+33
;Stamina;03.04.2017;;31.05.2017;;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;31.05.2017;0;0
